"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","id","Basiswert","Name.Basiswert","Typ"
"Mobilitätsziffer","deutsch",2024,"Stadt München",177.6,"1",39313,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2023,"Stadt München",180.6,"1",39710,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2022,"Stadt München",189.5,"1",40141,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2021,"Stadt München",212.7,"1",42088,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2020,"Stadt München",196.1,"1",40324,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2019,"Stadt München",192.7,"1",42953,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2018,"Stadt München",195.6,"1",45300,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2017,"Stadt München",197.2,"1",43769,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2016,"Stadt München",198.3,"1",45033,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2015,"Stadt München",205.9,"1",47085,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2014,"Stadt München",203.7,"1",47443,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2013,"Stadt München",212.4,"1",48758,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2012,"Stadt München",217.1,"1",50774,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2011,"Stadt München",229.4,"1",53991,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2010,"Stadt München",235.7,"1",52680,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2024,"Stadt München",470.1,"1",65870,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2023,"Stadt München",574,"1",74633,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2022,"Stadt München",600.1,"1",92919,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2021,"Stadt München",508.2,"1",62075,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2020,"Stadt München",436.7,"1",50135,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2019,"Stadt München",501.4,"1",67848,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2018,"Stadt München",509.4,"1",68585,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2017,"Stadt München",576.9,"1",69542,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2016,"Stadt München",542.1,"1",75713,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2015,"Stadt München",546.4,"1",77804,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2014,"Stadt München",578,"1",76867,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2013,"Stadt München",596.7,"1",76588,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2012,"Stadt München",555.7,"1",65434,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2011,"Stadt München",543.3,"1",58956,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2010,"Stadt München",544.1,"1",50926,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2009,"Stadt München",241.4,"1",53286,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2008,"Stadt München",241.9,"1",55645,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2007,"Stadt München",240.3,"1",54175,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2006,"Stadt München",239,"1",51361,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2005,"Stadt München",232.5,"1",47114,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2004,"Stadt München",230.7,"1",45405,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2003,"Stadt München",223,"1",41709,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2002,"Stadt München",215.3,"1",44356,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2001,"Stadt München",218.6,"1",46732,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2000,"Stadt München",227,"1",47185,"außerstädtisch Zugezogene (deutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2009,"Stadt München",571.3,"1",46786,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2008,"Stadt München",503.7,"1",42428,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2007,"Stadt München",501.4,"1",42316,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2006,"Stadt München",508.1,"1",41029,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2005,"Stadt München",543.1,"1",43112,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2004,"Stadt München",596.9,"1",47414,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2003,"Stadt München",572.3,"1",44034,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2002,"Stadt München",572.8,"1",48478,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2001,"Stadt München",591,"1",50668,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","nichtdeutsch",2000,"Stadt München",601.1,"1",47381,"außerstädtisch Zugezogene (nichtdeutsch)","Zuzug"
"Mobilitätsziffer","deutsch",2024,"Stadt München",177.6,"2",55560,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2023,"Stadt München",180.6,"2",56716,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2022,"Stadt München",189.5,"2",59334,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2021,"Stadt München",212.7,"2",68848,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2020,"Stadt München",196.1,"2",64408,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2019,"Stadt München",192.7,"2",61601,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2018,"Stadt München",195.6,"2",59568,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2017,"Stadt München",197.2,"2",59881,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2016,"Stadt München",198.3,"2",61643,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2015,"Stadt München",205.9,"2",65030,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2014,"Stadt München",203.7,"2",63667,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2013,"Stadt München",212.4,"2",65055,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2012,"Stadt München",217.1,"2",67281,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2011,"Stadt München",229.4,"2",72246,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2010,"Stadt München",235.7,"2",75165,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2024,"Stadt München",470.1,"2",57582,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2023,"Stadt München",574,"2",63987,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2022,"Stadt München",600.1,"2",64207,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2021,"Stadt München",508.2,"2",56566,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2020,"Stadt München",436.7,"2",49919,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2019,"Stadt München",501.4,"2",50060,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2018,"Stadt München",509.4,"2",47866,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2017,"Stadt München",576.9,"2",49007,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2016,"Stadt München",542.1,"2",50674,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2015,"Stadt München",546.4,"2",47776,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2014,"Stadt München",578,"2",46254,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2013,"Stadt München",596.7,"2",42379,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2012,"Stadt München",555.7,"2",41450,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2011,"Stadt München",543.3,"2",40652,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2010,"Stadt München",544.1,"2",40535,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","deutsch",2009,"Stadt München",241.4,"2",75123,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2008,"Stadt München",241.9,"2",74679,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2007,"Stadt München",240.3,"2",74771,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2006,"Stadt München",239,"2",70804,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2005,"Stadt München",232.5,"2",69731,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2004,"Stadt München",230.7,"2",69522,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2003,"Stadt München",223,"2",64382,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2002,"Stadt München",215.3,"2",58649,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2001,"Stadt München",218.6,"2",60546,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","deutsch",2000,"Stadt München",227,"2",64875,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2009,"Stadt München",571.3,"2",39713,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2008,"Stadt München",503.7,"2",40308,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2007,"Stadt München",501.4,"2",39969,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2006,"Stadt München",508.1,"2",39514,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2005,"Stadt München",543.1,"2",42630,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2004,"Stadt München",596.9,"2",42590,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2003,"Stadt München",572.3,"2",42325,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2002,"Stadt München",572.8,"2",36269,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2001,"Stadt München",591,"2",38320,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
"Mobilitätsziffer","nichtdeutsch",2000,"Stadt München",601.1,"2",41007,"innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (nichtdeutsch)","Umzug"
